color,description,fuel,guarantee,history,make,mileage,model,owners,power,price_euro,seller,transmission,weight,year
,"Kijk op onze desktop website voor meer foto's van deze auto. Wij zijn een bij de BOVAG aangesloten autobedrijf, op onze website staan de verkoop pakketten.  Uiteraard is het mogelijk om uw huidige auto bij ons in te ruilen tevens hebben wij ook diverse mogelijkheden rondom financieringen. Aan deze advertentie kunnen geen rechten worden ontleend. Alle moeite is genomen om de informatie op deze internetsite zo actueel mogelijk weer te geven. Fouten zijn echter niet uit te sluiten. Vertrouw daarom niet alleen op deze informatie, maar controleer bij aankoop de zaken die uw beslissing zouden kunnen beïnvloeden. U bent van harte welkom in Harderwijk! Wel raden wij u aan om vooraf even te bellen over de actuele beschikbaarheid van de auto. Modelreeks:  Koppel:  Actieradius:  Acceleratie (0-100):  Topsnelheid:  Afmetingen (LxBxH):  Wielbasis:  Laadvermogen:  GVW:  Max. trekgewicht:   (ongeremd 750 kg) Energielabel:  BTW/marge:  Motorrijtuigenbelasting:   per kwartaal",Stroom,,,Audi,19290,Q4 e-tron,1,150,36900.0,Autobedrijf,Automatisch,,06/2023
,"Zijn dynamische uiterlijk maakt al direct duidelijk wat voor rijervaring u van deze Toyota Aygo mag verwachten: pure sportiviteit. Met de pittige benzinemotor en de handgeschakelde vijfversnellingsbak manoeuvreert u moeiteloos door het verkeer.  Natuurlijk kunt u de kwaliteiten van deze auto pas echt beoordelen na een proefrit. Neem nu contact met ons op, dan zetten wij hem voor u klaar. INRUIL MOGELIJK!  Voor meer informatie of voor het maken van een afspraak kunt u contact opnemen met +31615432912 / 0342-450306.  MOCHT U LANGS WILLEN KOMEN VOOR DEZE AUTO, BELT U DAN ALTIJD EERST EVEN VOORDAT U WEG RIJDT. WIJ HOUDEN DE REISTIJD DE AUTO VOOR U VAST! Voor een uitgebreide fotoreportage en filmpje kijkt u op www.autovalk.com. U kunt ons en onze activiteiten ook volgen op facebook.com/autovalk. LET OP DE OPTIELIJSTEN KUNNEN AFWIJKEN VAN DE WERKELIJKE OPTIES Modelreeks:  Koppel:  Tankinhoud:  Acceleratie (0-100):  Topsnelheid:  Laadvermogen:  GVW:  Afmetingen (LxBxH):  Wielbasis:  Energielabel:  Motorrijtuigenbelasting:   per kwartaal",Benzine,,,Toyota,171215,Aygo,5,50,1949.0,Autobedrijf,Handgeschakeld,,06/2009
,"ALL-IN SERVICE 12 Maanden BOVAG Garantie (std)  12 Maanden BOVAG Pechhulp Europa en thuis service. (std)  14 Dagen BOVAG Omruil Garantie. (std) BOVAG 40 Punten Check. (std)  BOVAG Afleverbeurt. (std)  Reiniging Interieur en exterieur. (std)  12 Maanden BOVAG Netwerk Garantie (#) optioneel Met de nieuwe, volledig elektrische modellen zet Volkswagen een belangrijke stap naar de toekomst. Deze e-Golf biedt alles wat u van een Volkswagen verwacht en voegt daar elektrische aandrijving aan toe. Fiscaal aantrekkelijk is de elektromotor, waarmee u niet alleen stil maar ook uitermate pittig kunt rijden. Niet voor niets is de vraag naar gebruikte Volkswagens zo groot, want de kwaliteit staat ook na een aantal jaren nog buiten kijf, zoals aan deze e-Golf duidelijk te zien is. In deze auto profiteert u onder andere ook van: 16 inch lichtmetalen velgen, LED koplampen, dakspoiler, in hoogte verstelbare passagiersstoel, donker getint glas achter en LED-achterlichten.  Adaptive cruise control houdt de ingestelde snelheid vast en houdt afstand tot het voertuig voor u. Hoeveel gigabytes aan muziek wilt u meenemen? Met één stick in de usb-aansluiting kunt u uren en uren vooruit. De automatische airconditioning zorgt voor een prettige binnentemperatuur. De parkeersensoren waarschuwen wanneer u te krap inparkeert of dat ene paaltje niet hebt gezien. Natuurlijk is een complete auto als deze ook voorzien van sensoren die de omgeving in de gaten houden. Deze Volkswagen heeft niet alleen een automatisch inschakelbare verlichting aan boord, maar ook een regensensor. De uitrusting van deze Volkswagen is met navigatiesysteem, dvd-systeem, automatisch dimmende binnenspiegel, isofix-aansluiting, centrale deurvergrendeling met afstandsbediening en boordcomputer behoorlijk compleet.  In de Volkswagen e-Golf heeft uw veiligheid en die van uw omgeving prioriteit. Voor meer veiligheid detecteert deze auto het risico van een aanrijding tijdig via de forward collision warning. Bovenop deze veiligheidsfeatures heeft deze Volkswagen bovendien hill hold functie, autonoom remsysteem en bandenspanningcontrolesysteem.  Vanzelfsprekend leveren wij deze auto met BOVAG Garantie. Zuinig, stil, voordelig... de redenen voor elektrisch rijden zijn eindeloos. Maar het meest overtuigend is nog altijd een proefrit. Bel ons voor een afspraak! . <b>BOVAG GARANTIE</b> 12 Maanden BOVAG Garantie (std)  12 Maanden BOVAG Pechservice Europa en thuis service (std)  14 Dagen BOVAG Omruilgarantie (std)  12 Maanden BOVAG Netwerk Garantie (optioneel)  BOVAG 40 Punten Check (std)  BOVAG Afleverbeurt (std)  Reiniging Interieur en exterieur (std)  24 Maanden BOVAG Netwerk Garantie (optioneel) <b>JOUW FiINANCIEEL LEASE PARTNER</b> Wij regelen je droomauto met Financial Lease. Gemiddeld binnen 3 dagen de weg op als ondernemer. <B>KORTING</b> Tijdens uw BOVAG Garantie periode krijgt u een exclusieve korting van 10% op ons werkplaats tarief.  100 Euro contant, voor het aanbrengen van een nieuwe klant. <b>OP AFSPRAAK</b> Om u de beste service en persoonlijke aandacht te bieden werken wij graag op afspraak. Waarom een afspraak maken? Onze verkoopadviseur staat klaar om u persoonlijk  te ontvangen. Uw potentiële nieuwe auto wordt piekfijn voor u klaargezet. U ervaart een exclusieve en zorgeloze koopervaring op maat. <b>AUTOBEDRIJF VAN SCHIE - WWW.VANSCHIE.NL </b> Wij zijn gespecialiseerd in de verkoop van jong gebruikte auto's, welke meestal, van de eerste  eigenaar zijn en oorspronkelijk in Nederland geleverd zijn en liefst Dealer onderhouden.  <b>BOVAG OCCASION DEALER, ZUID-HOLLAND</B> (Locatie tussen Leiden en Alphen aan den Rijn) Rijndijk 296, 2394 CG, Hazerswoude-Rijndijk. <b>DIRECT CONTACT</b> WhatsApp: 071 341 9090 Telefoon: 071 341 9090 E-mail: info@vanschie.nl Chat op onze website: www.vanschie.nl <b>DISCLAIMER</b> Ondanks de constante zorg en aandacht die wij besteden aan de samenstelling van deze advertentie, is het mogelijk dat de informatie die wordt gepubliceerd onvolledig c.q. onjuist is. Fouten (in de gegevensverwerking) kunnen echter niet altijd voorkomen worden. Modelreeks:  Koppel:  Actieradius:  Acceleratie (0-100):  Topsnelheid:  Laadvermogen:  GVW:  Afmetingen (LxBxH):  Wielbasis:  Accutype:  Accu laden: Type 2, 1-fase, 7.2 kW, 49 km actieradius per uur, compleet vol in 4 uur en 58 minuten Accu snelladen: Combined Charging System, 40 kW, 192 km actieradius per uur, compleet vol in 0 uur en 42 minuten Gemiddeld elektriciteitsverbruik:  Energielabel:  Onderhoudsboekjes:  Aantal sleutels:  Motorrijtuigenbelasting:   per kwartaal BOVAG 40-Puntencheck:  BOVAG Afleverbeurt:  Laadtijd normaal stopcontact:  Laadtijd aan krachtstroom aansluiting 3 fase:  Bruikbare accucapaciteit:  Ingeschatte actieradius:  Ingeschat verbruik:  Actieradius praktijk zomer:  Actieradius praktijk winter:  Verbruik praktijk zomer:  Verbruik praktijk winter: ",Stroom,12,Ja,Volkswagen,43823,e-Golf,1,100,13900.0,Autobedrijf,Automatisch,,04/2019
,"Citroen C3  1.2 VTI Collection . Origineel nl geleverde auto . Voorzien van een el pakket , trekhaak , clima control . Fijne compacte 5 deurs auto . Voor meer info gelieve even te bellen . tel 0653951037. U kunt  telefonisch een afspraak maken om een auto van ons te komen bekijken , en mee proef te rijden. tel Mob 0653951037. Disclaimer. Hoewel aan de informatie van deze website en andere aanbieders  de grootst mogelijke zorg wordt besteed, kunnen wij niet aansprakelijk worden gesteld voor eventuele onjuiste informatie van welke aard dan ook. Acceleratie (0-100):  Topsnelheid:  Wielbasis:  Laadvermogen:  GVW:  Max. trekgewicht:   (ongeremd 520 kg) Energielabel:  Schade:  Aantal sleutels:  BTW/marge:  Motorrijtuigenbelasting:   per kwartaal",Benzine,,,Citroen,135112,C3,,60,4750.0,Autobedrijf,Handgeschakeld,,06/2014
,"Autostad Den Haag is een automobielbedrijf met zeer interessante occasions op voorraad. Met ruim 100 occasions en een snel wisselende voorraad in alle prijsklassen en categorieën. Al onze occasions worden grondig nagekeken alvorens ze u worden aangeboden. In onze showroom treft u een compleet aanbod van geheel betrouwbare occasions van alle merken aan. Onze occasions zijn zo opgesteld dat u er op uw gemak rond kunt lopen en van binnen en buiten kunt bekijken onder het genot van een kopje koffie. Door onze goede contacten in de nationale en internationale autobranche kunnen wij altijd tegen scherpe prijzen occasions leveren. Indien u een proefrit wilt maken, is dat geen probleem. U hoeft hiervoor geen afspraak te maken. Heeft u het voertuig van uw dromen bij ons in de showroom zien staan maar kunt u hem niet in zijn geheel betalen dan is er de mogelijkheid een financiering af te sluiten. Financieringen vinden plaats tegen marktconforme voorwaarden en op uiterst discrete wijze. Bij aankoop van een voertuig is het bij ons mogelijk dat u hierop garantie krijgt. De looptijd van deze garantie is afhankelijk van prijs, leeftijd en onderhoud van het voertuig dat u koopt. Bel of mail ons gerust om naar de mogelijkheden. ! Alle auto's worden afgeleverd met een recente, of nieuwe APK ! ! Wij berekenen geen afleveringskosten ! Altijd ruim 100 luxe & bedrijfs auto’s op voorraad! Financial lease is mogelijk! Eventueel inruil mogelijk alleen tegen Handelsprijs! Bij inruil graag foto's en prijsindicatie sturen naar 06 11 11 45 23. Openingstijden van maandag t/m zaterdag van 10.00 tot 18.00 uur. Bezoek buiten onze openingstijden is mogelijk. Wij verzoeken u hiervoor een afspraak te maken. Alle prijzen/advertenties zijn onder voorbehoud van druk en/of zet fouten. Bandenmaat:  Acceleratie (0-100):  Topsnelheid:  Wielbasis:  Laadvermogen:  GVW:  Max. trekgewicht:   (ongeremd 750 kg) Energielabel:  Aantal sleutels:  BTW/marge:  Motorrijtuigenbelasting:   per kwartaal",Benzine,,Ja,Kia,135361,Sportage,,99,9750.0,Autobedrijf,Handgeschakeld,,08/2013
,"Duitse auto's blijven onveranderd vertegenwoordigd in de top van wereldmerken. En dat is geen toeval. Met zijn benzinemotor en handgeschakelde vijfversnellingsbak is dit een prima auto voor nog vele kilometers. Laat die bochten maar komen! In de sportstoelen zitten u en uw bijrijder altijd goed! Bij de rijke uitrusting horen ook donker getint glas achter, in delen neerklapbare achterbank, elektrisch verstelbare buitenspiegels en elektrisch bedienbare ramen voor.  Met de stuurwielbediening van het audiosysteem, kunt u probleemloos uw ogen op de weg houden. Cruise control is aanwezig; prettig voor de lange einden. Natuurlijk heeft deze auto ook airconditioning. Extra opties op deze auto zijn: centrale deurvergrendeling met afstandsbediening en boordcomputer.  Een proefrit levert het bewijs. Neem contact op en we maken een afspraak! INRUIL MOGELIJK!  Voor meer informatie of voor het maken van een afspraak kunt u contact opnemen met +31615432912 / 0342-450306.  MOCHT U LANGS WILLEN KOMEN VOOR DEZE AUTO, BELT U DAN ALTIJD EERST EVEN VOORDAT U WEG RIJDT. WIJ HOUDEN DE REISTIJD DE AUTO VOOR U VAST! Voor een uitgebreide fotoreportage en filmpje kijkt u op www.autovalk.com. U kunt ons en onze activiteiten ook volgen op facebook.com/autovalk. LET OP DE OPTIELIJSTEN KUNNEN AFWIJKEN VAN DE WERKELIJKE OPTIES Modeljaar:  Modelcode:  Koppel:  Tankinhoud:  Acceleratie (0-100):  Topsnelheid:  Afmetingen (LxBxH):  Wielbasis:  Laadvermogen:  GVW:  Max. trekgewicht:   (ongeremd 500 kg) Energielabel:  Motorrijtuigenbelasting:   per kwartaal",Benzine,,,Opel,123765,Corsa,2,74,4949.0,Autobedrijf,Handgeschakeld,,07/2010
,"Kwaliteit hoeft niet groot te zijn. Deze Hyundai i20 is een geweldig fijne auto met uitstekende prestaties en optimaal rijplezier. Zijn compacte motor geeft deze Hyundai uitstekende prestaties, maar zorgt voor een bescheiden brandstofverbruik. Bij de uitrusting van deze auto horen onder meer 16 inch lichtmetalen velgen, LED-dagrijverlichting, dakspoiler, in hoogte verstelbare voorstoelen, donker getint glas achter en in delen neerklapbare achterbank.  Tijdens de rit bedient u het audio-installatiesysteem met de knoppen op het stuur. In een auto als deze kunt u niet zonder automatische airconditioning, zodat de temperatuur altijd goed is. Met de cruise control kunt u zorgen dat u op die rechte stukken toch uit beeld blijft bij de flitsers. Ook lederen stuur en versnellingspook, isofix-aansluiting, centrale deurvergrendeling met afstandsbediening, bagage afdekhoes en bekerhouder horen tot de voorzieningen op deze auto.  U bent nieuwsgierig? Bel of mail ons dan direct om een proefrit te reserveren. Van Wallinga Automobielen in Haarlem, Spaarndamseweg 380. is een universeel autobedrijf dat al 30 jaar actief en een begrip is in mobiliteit. Wij verkopen zorgvuldig geselecteerde dealer-occasions in elke prijsklasse. Al onze auto's zijn voorzien van een RDW-teller rapport (voorheen N.A.P.). Wij adverteren uitsluitend met originele bouwjaren en kilometerstanden. Inruil is altijd mogelijk evenals een proefrit voor aankoop. Even bellen voor dat u langs wil komen is aan te raden, om teleurstellingen te voorkomen. De gekochte auto kunnen wij gelijk te naam stellen (of exporteren). Ook voor een passende verzekering of financiering kunt u bij ons terecht (zie onze site www.wallinga.nl). Graag tot ziens in onze sfeervolle showroom aan de Spaarndamseweg 380 in Haarlem, waar de koffie altijd klaar staat! Kijk ook eens op www.wallinga.nl voor nog meer betaalbare dealer-occasions. Voor vragen:  023-5380942 of info@wallinga.nl. Onze advertenties worden met de grootse zorg samengesteld door diverse partijen; daarom zijn typefouten en genoemde opties onder voorbehoud. Modeljaar:  Koppel:  Tankinhoud:  Acceleratie (0-100):  Topsnelheid:  Afmetingen (LxBxH):  Wielbasis:  Laadvermogen:  GVW:  Max. trekgewicht:   (ongeremd 450 kg) Energielabel:  Aantal sleutels:  BTW/marge:  Motorrijtuigenbelasting:   per kwartaal",Benzine,,Ja,Hyundai,141465,i20,3,63,5450.0,Autobedrijf,Handgeschakeld,,10/2014
,"In 1896 begon Johann Abt een smederij onder een naam die in de autowereld tot op de dag van vandaag met veel ontzag wordt uitgesproken. 126 jaar later werd de oprichter van het ABT-imperium geëerd met een unieke auto. Van de Audi RS6 Johann Abt Signature Edition zijn 64 exemplaren gemaakt, één voor ieder jaar dat Johann Abt heeft geleefd. Stuk voor stuk met de hand gemaakt, allemaal voorzien van een uniek stuk geschiedenis: een fragment van het originele aambeeld waar het verhaal van Johann Abt begon. JOHAN ABT SIGNATURE EDITION: ABT Power R: 800PK/980Nm incl. ABT-compressoren, ABT intercooler en ABT oliekoelsysteem met behoud van fabrieksgarantie, ABT frontlip incl. frontlipvinnen (Signature Carbon rood) met Johann ABT handtekening, ABT front blades (Signature Carbon rood), ABT inzetstukken in de voorskirt (Signature Carbon rood) incl. luchtinlaatrooster, ABT frontgrill add-on (Signature Carbon rood), ABT spiegelkappen (Signature Carbon rood), ABT side skirts voor en ABT side blades achter (Signature Carbon rood), ABT wielkast ventilatie voor en achter (Signature Carbon rood), ABT diffusor add-on (Signature Carbon rood) met Johann ABT handtekening, ABT veerpootbrug achter (Signature Carbon rood), ABT dakspoiler (Signature Carbon rood) met sierstrip in hoogglans zwart, ABT halo projectie, ABT uitlaatsysteem met 4x ABT Ø102mm in RVS matzwart met ABT logo, ABT schroefverenset in hoogte instelbaar, ABT stabilisatorstangen, ABT High Performance 22 ‘Johann Abt Signature Edition’ gesmede wielen glanzend zwart, ABT vrij draaiende wieldop met ABT logo, ABT stuurwiel badge, ABT schakelpaddels (Signature Carbon rood), ABT voor- en achterstoelen met Johann Abt-handtekening (geborduurd) en ABT logo in hoofdsteunen, ABT middenarmsteun met het Johann Abt logo, ABT middenconsole inclusief tijdcapsule, ABT instapverlichting met Johann Abt logo, ABT mattenset met Johann Abt zegelplaten, ABT instaplijsten met ”Sinds 1896” inscriptie, ABT startknop, ABT pookknop (Signature Carbon rood) met ABT logo, ABT dashboard badge met voertuignummering (40 van 64), ABT stoelverstellingsdelen (Signature Carbon rood), ABT dashboardafdekking (Signature Carbon rood), ABT deurportieren in alcantara uitgevoerd, honingraat patroon in rood gestikt met Johann Abt zegelplaten, ABT dorpels met alcantara afgewerkt, ABT decorlijsten (Signature Carbon rood), ABT verlengde garantie 3 jaar (of max. 100.000 km.) Assistentiepakket City, Assistentiepakket ‘Tour’, Audi exclusive hemelbekleding zwart alcantara, Audi phone box met wirelles charging, Audi pre sense rear (o.a.: zij-airbags achterin), Audi ringen in glanzend zwart, Bang & Olufsen Advanced sound system met 3D-sound, Buitenspiegels in carrosseriekleur, Dvd-speler, Glazen panoramadak, Head-up display, Optiekpakket zwart, PPF anti-steenslagfolie front (voorbumper, motorkap, zij-schermen, buitenspiegels, diverse carbon delen en bovenzijde achterbumper), Privacy glas, RS-designpakket rood, RS Dynamic-pakket plus, RS-Keramisch remsysteem, rood, RS-sportonderstel plus met Dynamic Ride Control (DRC), RS-sportstoelen vóór met geperforeerd leder Valcona, honingraatstikselpatroon en stoelventilatie, Servosluiting voor de portieren, Stoelverwarming vóór en achter, Topview (360 graden) camera's incl. parkeerhulp voor en achter, Verkeersbordherkenning, Verlengde fabrieksgarantie 3 jaar (of max. 100.000 km), Verwarmbare voorruit van isolerend glas, Nieuwprijs Nederland € 360.404,00 Hebben wij u interesse gewekt in deze fantastische Audi RS6 Johan Abt Signature Edition? Neem vrijblijvend contact met ons op via 026-3253745 of info@borgers.nl Modelreeks:  Modelcode:  Koppel:  Wielbasis:  Tankinhoud:  Acceleratie (0-100):  Topsnelheid:  Onderhoudsboekjes:  Technische staat:  Optische staat:  Staat interieur:  BTW/marge:  Motorrijtuigenbelasting:   per kwartaal Inbegrepen afleverpakket:   Wettelijke garantie, geldige APK, en RDW-leges. Airconditioning:  Storingsmelding:  Bandenset: ",Benzine,,Ja,Audi,13100,RS6,,588,274950.0,Autobedrijf,Automatisch,,06/2021
,"DNA Cars rekent EUR 1295,- Rijklaar maak kosten Onze vraagprijzen zijn meeneemprijzen Wanneer u uw auto wilt inruilen ontvangen wij graag de informatie van uw huidige auto om zo indicatief een voorstel te kunnen maken. Ook heeft DNA Cars verschillende financiering mogelijkheden en we doen u graag een voorstel. Alle moeite is genomen om de informatie op deze internetsite zo accuraat en actueel mogelijk weer te geven. Fouten zijn echter nooit uit te sluiten. Vertrouw daarom niet alleen op deze informatie, maar controleer bij aankoop de zaken die uw beslissing kunnen beïnvloeden. Modelreeks:  Koppel:  Wielbasis:  Tankinhoud:  Acceleratie (0-100):  Topsnelheid:  Energielabel:  Onderhoudsboekjes:  Aantal sleutels:  Motorrijtuigenbelasting: ",Benzine,,Ja,Audi,82759,RS Q8,,441,154995.0,Autobedrijf,Automatisch,,03/2022
,"RIJDT & SCHAKELT GOED! WIJ MAKEN EXPORT DOCUMENTS EXPORT TRAILER €25,- EXPORT DRIVE €99,- 0031653690105 OPENINGSTIJDEN: Maandag: 09:00 - 17:00 uur. Dinsdag: 09:00 - 17:00 uur. Woensdag: 09:00 - 17:00 uur. Donderdag: 09:00 - 17:00 uur. Vrijdag: 09:00 - 17:00 uur. Zaterdag: 09:00 - 17:00 uur. Zondag: op afspraak Luca Cars B.V. Garnalenweg 2A 3751 BG BUNSCHOTEN-SPAKENBURG TEL: 0653690105 E-MAIL: info@lucacars.nl Laadvermogen:  GVW:  Max. trekgewicht:   (ongeremd 530 kg) Wielbasis:  Acceleratie (0-100):  Topsnelheid:  Energielabel:  BTW/marge:  Motorrijtuigenbelasting:   per kwartaal",Benzine,,,Volkswagen,332299,Polo,,51,1750.0,Autobedrijf,Handgeschakeld,,08/2009
,"Bij Van der Kolk Auto's staan we garant voor kwaliteit en betrouwbaarheid. Elke auto die ons terrein verlaat, wordt grondig gecontroleerd en voorzien van 3 maanden garantie. Zo kun je met een gerust hart de weg op, wetende dat je een auto van hoge kwaliteit hebt gekocht. Ontdek ons ruime assortiment en vind de perfecte auto voor jouw behoeften bij Van der Kolk Auto's. Uiteraard doen wij ons best deze advertentie zo goed mogelijk te plaatsen, echter is fouten maken menselijk, aan deze advertentie kunnen dus geen rechten worden ontleend. En controleer bij twijfel de opties in de auto. De Grift 4 7711 EPNieuwleusen +31615218890 info@vanderkolkautos.nl   vanderkolkautos.nl",Diesel,,,Fiat,240947,Punto Evo,,62,2840.0,Autobedrijf,Handgeschakeld,,06/2012
,"In zeer nette staat verkerende Mercedes-Benz CLA-klasse 180 Ambition uit 2013 met 204.610 km op de teller (met Nationale Autopas). De auto verkeert in zeer goede staat en is altijd netjes onderhouden. Beide sleutels zijn aanwezig, inclusief een ingevuld onderhoudsboekje. Wij berekenen GÉÉN RIJKLAARMAAKKOSTEN: wij adverteren met scherpe meeneemprijzen. Hiervoor krijgt uw aangekochte auto:  - een algemene controle van de auto; - minimaal 8 maanden APK; - tenaamstelling kenteken; - vrijwaring (bij inruil van een auto); - één maand garantie (op de motor en versnellingsbak); - een professioneel gepoetste auto. Voor meer informatie kunt u het beste bellen naar 0492-778264. U bent altijd welkom voor een proefrit of een kopje koffie. RVL Auto's Bosscheweg 34 5741 SX Beek en Donk www.rvlautos.nl *Prijs betreft een zeer scherpe meeneemprijs. *Al onze auto`s zijn NAP (Nationale Autopas) goedgekeurd. *Inruil is indien gewenst mogelijk. *Aantrekkelijke financiering mogelijkheden via Dealer totaal concept. *APK eventueel bij aflevering. Disclaimer: alle moeite is genomen om de informatie van deze advertentie zo accuraat en actueel mogelijk weer te geven. Fouten zijn echter nooit uit te sluiten. Vertrouw daarom niet alleen op deze informatie, maar controleer bij aankoop de zaken die uw beslissing zouden kunnen beïnvloeden. Acceleratie (0-100):  Topsnelheid:  Wielbasis:  Laadvermogen:  GVW:  Max. trekgewicht:   (ongeremd 695 kg) Energielabel:  Aantal sleutels:  BTW/marge:  Motorrijtuigenbelasting:   per kwartaal Garantie:  Inbegrepen afleverpakket:   - 1 Maand garantie op motor en versnellingsbak (draaiende delen)  Dit afleverpakket bevat: Huisgarantie",Benzine,,Ja,Mercedes-Benz,204598,CLA 180,,90,11400.0,Autobedrijf,Handgeschakeld,,07/2013
,"- Nieuwe APK - volledige onderhoudshistorie aanwezig - Aflevering incl. afleveronderhoudsbeurt -  !! ALLEEN GEOPEND OP AFSPRAAK!! Wij zijn beschikbaar van maandag tot zaterdag, tussen 09:00 en 17:00. Om teleurstelling te voorkomen vragen wij u om een afspraak in te plannen voor een bezichtiging of proefrit. Als erkend RDW bedrijf kunnen wij uw auto op naam zetten. U kunt ons telefonisch bereiken op 0591 245500 Ook zijn wij per WhatsApp bereikbaar op 0591 245500 Inruil is natuurlijk altijd mogelijk. Vraag een van onze medewerkers voor een taxatie. Aan deze advertentie kunnen geen rechten worden ontleend. Modelreeks:  Koppel:  Tankinhoud:  Acceleratie (0-100):  Topsnelheid:  Afmetingen (LxB):  Wielbasis:  Laadvermogen:  GVW:  Max. trekgewicht:   (ongeremd 690 kg) CO₂-uitstoot (NEDC):  Energielabel:  Aantal sleutels:  Motorrijtuigenbelasting:   per kwartaal Inbegrepen afleverpakket: ",Benzine,,,Ford,117833,Focus,,74,10990.0,Autobedrijf,Handgeschakeld,,10/2019
,"leuke Seat ibiza 1.0 TSI XCellence. Afkomstig van de tweede eigenaar. Voorzien van Carplay, Camera, Cruise Control en Stoelverwarming. bouwjaar 27-11-2017 model 2018! Al onze auto’s worden geadverteerd met de meeneemprijs, dit is inclusief rijklaarmaakkosten! Rijkautos.nl bezit het BOVAG keurmerk. Daardoor bent u bij ons verzekerd van een degelijke service en betrouwbaarheid. Vanwege de snel oplopende prijzen en het beperkte aanbod occasions, hanteren wij nog geen prijsstijgingen, maar wel vaste prijzen. Wij adviseren wij onze klanten altijd een aanvullend garantiepakket, deze zijn er in 2 soorten. Het alleen bij zeer uitzonderlijke auto's mogelijk zonder garantiepakket aan te kopen. Tevens kunt u bij ons ook terecht voor inruil, financiering en verzekering mogelijkheden. Kortom bent u opzoek naar een betrouwbare occasion? Breng dan een bezoek aan Rijk Auto’s en laat u verrassen door onze occasions! Adres: DIAZWEG 1, 4462 HG Goes TEL: 0113-785101. Openingstijden: Ma, Di, Do, Vr 10:00 – 17:30 uur, woensdag op afspraak, zaterdag van 10:00 tot 16:00 uur. Zondags gesloten. Om teleurstelling te voorkomen, adviseren wij u voordat u langskomt telefonisch contact op te nemen. Rijk Auto’s koopt dealer en inruilauto’s in via kritisch geselecteerde inkoopkanalen. Inruil is altijd welkom. Alle moeite is genomen om de informatie in deze advertentie zo accuraat en actueel mogelijk weer te geven, fouten zijn echter nooit uit te sluiten. Controleer daarom bij aankoop de zaken die uw beslissing zouden kunnen beïnvloeden. Acceleratie (0-100):  Topsnelheid:  Afmetingen (LxBxH):  Wielbasis:  Laadvermogen:  GVW:  Max. trekgewicht:   (ongeremd 570 kg) Interieurkleur:  Aantal sleutels:  BTW/marge:  Motorrijtuigenbelasting:   per kwartaal",Benzine,1,Ja,SEAT,119424,Ibiza,,85,12495.0,Autobedrijf,Handgeschakeld,,01/2018
,"Deze advertentie en de inhoud ervan is met de grootst mogelijke zorg samengesteld. Het is echter mogelijk dat in de gehanteerde advertentietekst bepaalde opties en of accessoires zijn vermeld welke niet op deze specifieke auto aanwezig zijn. Er kunnen derhalve aan de advertentie geen rechten worden ontleend en Joosen Auto’s Ulicoten kan nooit aansprakelijk worden gesteld voor de inhoud en volledigheid van de verstrekte informatie.     12 maanden garantie    - Airbag Bestuurder - Airbag Passagier - Airbag, zijdelings voor 2x - Gordijn/hoofd airbags voor - Gordijn/hoofd airbags achter - Knieairbag voor - Airconditioning, automatisch - Radio DAB - Navigatiesysteem - Navigatiesysteem Full Map - USB aansluiting - Bluetooth carkit - Android Auto - Apple CarPlay - ESP - EBD - ASR Anti doorslip regeling - Elektrische ramen voor - Elektrische ramen achter - Cruise control - Regensensor - Automatisch dimmende binnenspiegel - Boordcomputer - ABS - Bandenspanningscontrole - Adaptieve cruise control - Head Up Display - Achteruit rij camera - Startonderbreking - Dakspoiler - Bumpers in kleur van de carrosserie - Park control achter - Park control voor en achter - Park control voor - APK bij aflevering - Onderhoudsboekje aanwezig - Hoofdsteunen achter - Deelb. achterbank (ongelijke delen) - Rokersvrije auto - Schakelpook leer - LED-koplampen - Middenarmsteun voor - Middenarmsteun - Stuurbekrachtiging - Lane assist - Dodehoek detectie - Verkeersbordenherkenning - Bekerhouder voor - El. verstelbare spiegels - El. verstelbare spiegels, verwarmd - Electr. buitenspiegel verstelbaar en inklapbaar - Lederen stuur - Multifunctioneel stuur - Verstelbaar stuur - Stuurverwarming - Buitentemperatuurmeter - Centrale deurvergrendeling, afstandbediend - Alarminstallatie - Lichtmetalen velgen - Lichtmetalen velgen 16 inch - Lichtmetalen velgen 18 inch - Bestuurdersstoel hoogte verstelbaar - Passagiersstoel hoogte verstelbaar - Stoelverwarming voor - Kinderzitje voorbereiding ISOfix - Cruise control adaptief - Dimlichten automatisch - Connected services - Chroom delen exterieur - Buitenspiegel(s) automatisch dimmend - Brake Assist System - Bots waarschuwing systeem - Autonomous Emergency Braking - Audio installatie premium - Apple Carplay/Android Auto - Keyless entry - Metaal-/micakleur - Vermoeidheids herkenning - Rijstrooksensor met correctie - Multimedia-voorbereiding - LED achterlichten - Keyless start - Achteruitrij assistent - Hill hold functie - Electronic climate control - Grootlichtassistent",Benzine,12,Ja,Mazda,102435,3,,90,15950.0,Autobedrijf,Handgeschakeld,,03/2020
